Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
1,Jarvis Landry*,MIA,25,WR,16,16,161,112,69.60%,987,8.8,9,62,49,6.1,7,61.7,4
2,Larry Fitzgerald*,ARI,34,WR,16,16,161,109,67.70%,1156,10.6,6,65,37,7.2,6.8,72.3,1
3,Michael Thomas*,NOR,24,WR,16,14,149,104,69.80%,1245,12,5,71,43,8.4,6.5,77.8,0
4,Keenan Allen*,LAC,25,WR,16,15,159,102,64.20%,1393,13.7,6,74,51,8.8,6.4,87.1,1
5,Antonio Brown*+,PIT,29,WR,14,14,163,101,62.00%,1533,15.2,9,69,57,9.4,7.2,109.5,4
6,DeAndre Hopkins*+,HOU,25,WR,15,15,174,96,55.20%,1378,14.4,13,69,72,7.9,6.4,91.9,1
7,Golden Tate,DET,29,WR,16,12,120,92,76.70%,1003,10.9,5,44,71,8.4,5.8,62.7,1
8,Adam Thielen*,MIN,27,WR,16,16,142,91,64.10%,1276,14,4,59,65,9,5.7,79.8,3
9,Julio Jones*,ATL,28,WR,16,16,148,88,59.50%,1444,16.4,3,67,53,9.8,5.5,90.3,0
10,Le'Veon Bell*+,PIT,25,RB,15,15,106,85,80.20%,655,7.7,2,32,42,6.2,5.7,43.7,3
11,Travis Kelce*,KAN,28,TE,15,15,122,83,68.00%,1038,12.5,8,53,44,8.5,5.5,69.2,0
12,Demaryius Thomas,DEN,30,WR,16,16,140,83,59.30%,949,11.4,5,53,40,6.8,5.2,59.3,1
13,Alvin Kamara*,NOR,22,RB,16,3,100,81,81.00%,826,10.2,5,38,40,8.3,5.1,51.6,1
14,Jack Doyle*,IND,27,TE,15,15,108,80,74.10%,690,8.6,4,36,26,6.4,5.3,46,2
15,Christian McCaffrey,CAR,21,RB,16,10,113,80,70.80%,651,8.1,5,37,37,5.8,5,40.7,2
16,Doug Baldwin*,SEA,29,WR,16,16,116,75,64.70%,991,13.2,8,44,54,8.5,4.7,61.9,0
17,A.J. Green*,CIN,29,WR,16,16,143,75,52.40%,1078,14.4,8,55,77,7.5,4.7,67.4,2
18,Tyreek Hill*,KAN,23,WR,15,13,105,75,71.40%,1183,15.8,7,40,79,11.3,5,78.9,2
19,Davante Adams*,GNB,25,WR,14,14,117,74,63.20%,885,12,10,46,55,7.6,5.3,63.2,0
