Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
54,Todd Gurley*+,LAR,24,RB,14,14,81,59,72.80%,580,9.8,4,26,56,7.2,4.2,41.4,1
55,Dion Lewis,TEN,28,RB,16,7,67,59,88.10%,400,6.8,1,13,37,6,3.7,25,1
56,Demaryius Thomas,2TM,31,WR,15,15,89,59,66.30%,677,11.5,5,36,45,7.6,3.9,45.1,0
57,Tyler Lockett,SEA,26,WR,16,14,70,57,81.40%,965,16.9,10,37,52,13.8,3.6,60.3,2
58,Zay Jones,BUF,23,WR,16,15,102,56,54.90%,652,11.6,7,33,57,6.4,3.5,40.8,1
59,David Njoku,CLE,22,TE,16,14,88,56,63.60%,639,11.4,4,27,66,7.3,3.5,39.9,0
60,James Conner*,PIT,23,RB,13,12,71,55,77.50%,497,9,1,20,29,7,4.2,38.2,4
61,Jimmy Graham,GNB,32,TE,16,12,89,55,61.80%,636,11.6,2,32,54,7.1,3.4,39.8,0
62,D.J. Moore,CAR,21,WR,16,10,82,55,67.10%,788,14.3,2,33,82,9.6,3.4,49.3,4
63,Allen Robinson,CHI,25,WR,13,12,94,55,58.50%,754,13.7,4,36,43,8,4.2,58,1
64,T.J. Yeldon,JAX,25,RB,14,5,78,55,70.50%,487,8.9,4,20,37,6.2,3.9,34.8,1
65,Trey Burton,CHI,27,TE,16,16,76,54,71.10%,569,10.5,6,29,47,7.5,3.4,35.6,1
66,Michael Crabtree,BAL,31,WR,16,16,100,54,54.00%,607,11.2,3,35,27,6.1,3.4,37.9,0
67,Jordan Reed,WAS,28,TE,13,8,84,54,64.30%,558,10.3,2,26,34,6.6,4.2,42.9,1
68,Kenyan Drake,MIA,24,RB,16,7,73,53,72.60%,477,9,5,23,52,6.5,3.3,29.8,2
69,Chester Rogers,IND,24,WR,16,10,72,53,73.60%,485,9.2,2,28,34,6.7,3.3,30.3,1
70,Chosen Anderson,NYJ,25,WR,14,9,94,50,53.20%,752,15,6,30,76,8,3.6,53.7,2
71,Doug Baldwin,SEA,30,WR,13,13,73,50,68.50%,618,12.4,5,32,42,8.5,3.8,47.5,0
72,Melvin Gordon*,LAC,25,RB,12,12,66,50,75.80%,490,9.8,4,21,66,7.4,4.2,40.8,1
73,David Johnson,ARI,27,RB,16,16,76,50,65.80%,446,8.9,3,22,40,5.9,3.1,27.9,3
