Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
50,Sammy Watkins,BUF,22,WR,13,13,96,60,62.50%,1047,17.5,9,41,63,10.9,4.6,80.5,0
51,Jamison Crowder,WAS,22,WR,16,6,78,59,75.60%,604,10.2,2,34,44,7.7,3.7,37.8,4
52,Jacob Tamme,ATL,30,TE,15,8,81,59,72.80%,657,11.1,1,31,41,8.1,3.9,43.8,0
53,Shane Vereen,NYG,26,RB,16,0,81,59,72.80%,494,8.4,4,22,37,6.1,3.7,30.9,1
54,Richard Rodgers,GNB,23,TE,16,12,85,58,68.20%,510,8.8,8,28,61,6,3.6,31.9,0
55,Rueben Randle,NYG,24,WR,16,16,90,57,63.30%,797,14,8,36,72,8.9,3.6,49.8,0
56,Antonio Gates,SDG,35,TE,11,4,85,56,65.90%,630,11.3,5,33,40,7.4,5.1,57.3,0
57,Darren Sproles*,PHI,32,RB,16,4,83,55,66.30%,388,7.1,1,21,35,4.7,3.4,24.3,2
58,Coby Fleener,IND,27,TE,16,11,84,54,64.30%,491,9.1,3,23,57,5.8,3.4,30.7,0
59,Alshon Jeffery,CHI,25,WR,9,8,94,54,57.40%,807,14.9,4,43,50,8.6,6,89.7,1
60,Martellus Bennett,CHI,28,TE,11,11,80,53,66.30%,439,8.3,3,26,24,5.5,4.8,39.9,2
61,Tavon Austin,STL,25,WR,16,15,87,52,59.80%,473,9.1,5,21,66,5.4,3.3,29.6,3
62,Cole Beasley,DAL,26,WR,16,3,75,52,69.30%,536,10.3,5,31,30,7.1,3.3,33.5,2
63,Stefon Diggs,MIN,22,WR,13,9,84,52,61.90%,720,13.8,4,30,40,8.6,4,55.4,2
64,Tyler Eifert*,CIN,25,TE,13,12,74,52,70.30%,615,11.8,13,38,31,8.3,4,47.3,0
65,Michael Floyd,ARI,26,WR,15,6,89,52,58.40%,849,16.3,6,40,60,9.5,3.5,56.6,0
66,Terrance Williams,DAL,26,WR,16,13,93,52,55.90%,840,16.2,3,36,42,9,3.3,52.5,0
67,Charles Clay,BUF,26,TE,13,13,77,51,66.20%,528,10.4,3,26,40,6.9,3.9,40.6,1
68,Tyler Lockett*+,SEA,23,WR,16,8,69,51,73.90%,664,13,6,31,49,9.6,3.2,41.5,2
69,Charles Sims,TAM,25,RB,16,0,70,51,72.90%,561,11,4,22,56,8,3.2,35.1,2
70,Davante Adams,GNB,23,WR,13,12,94,50,53.20%,483,9.7,1,20,40,5.1,3.8,37.2,0
71,Martavis Bryant,PIT,24,WR,11,5,92,50,54.30%,765,15.3,6,25,88,8.3,4.5,69.5,1
72,Mark Ingram,NOR,26,RB,12,10,60,50,83.30%,405,8.1,0,22,59,6.8,4.2,33.8,2
73,James Jones,GNB,31,WR,16,15,99,50,50.50%,890,17.8,8,40,65,9,3.1,55.6,1
74,Giovani Bernard,CIN,24,RB,16,1,66,49,74.20%,472,9.6,0,19,45,7.2,3.1,29.5,2
75,Jermaine Kearse,SEA,25,WR,16,16,68,49,72.10%,685,14,5,32,50,10.1,3.1,42.8,1
76,Kyle Rudolph,MIN,26,TE,16,16,73,49,67.10%,495,10.1,5,25,47,6.8,3.1,30.9,0
77,Jimmy Graham,SEA,29,TE,11,11,74,48,64.90%,605,12.6,2,29,45,8.2,4.4,55,0
78,Eric Ebron,DET,22,TE,14,8,70,47,67.10%,537,11.4,5,27,55,7.7,3.4,38.4,0
79,Lamar Miller,MIA,24,RB,16,16,57,47,82.50%,397,8.4,2,15,54,7,2.9,24.8,1
80,Bilal Powell,NYJ,27,RB,11,2,63,47,74.60%,388,8.3,2,21,25,6.2,4.3,35.3,2
81,Nate Washington,HOU,32,WR,14,14,94,47,50.00%,658,14,4,33,49,7,3.4,47,0
82,Robert Woods,BUF,23,WR,14,9,80,47,58.80%,552,11.7,3,27,37,6.9,3.4,39.4,2
83,Owen Daniels,DEN,33,TE,16,16,77,46,59.70%,517,11.2,3,27,37,6.7,2.9,32.3,0
84,Brian Hartline,CLE,29,WR,12,4,77,46,59.70%,523,11.4,2,30,41,6.8,3.8,43.6,1
85,Steve Smith Sr.,BAL,36,WR,7,7,73,46,63.00%,670,14.6,3,29,50,9.2,6.6,95.7,0
86,Julius Thomas,JAX,27,TE,12,10,80,46,57.50%,455,9.9,5,25,34,5.7,3.8,37.9,0
87,Javorius Allen,BAL,24,RB,16,6,62,45,72.60%,353,7.8,2,15,41,5.7,2.8,22.1,2
88,Marques Colston,NOR,32,WR,13,5,67,45,67.20%,520,11.6,4,26,53,7.8,3.5,40,0
89,Steve Johnson,SDG,29,WR,10,8,65,45,69.20%,497,11,3,29,34,7.6,4.5,49.7,1
90,Matt Forte,CHI,30,RB,13,13,58,44,75.90%,389,8.8,3,17,38,6.7,3.4,29.9,2
91,Ted Ginn Jr.,CAR,30,WR,15,13,97,44,45.40%,739,16.8,10,36,74,7.6,2.9,49.3,0
92,DeMarco Murray,PHI,27,RB,15,8,55,44,80.00%,322,7.3,1,13,44,5.9,2.9,21.5,2
93,Markus Wheaton,PIT,24,WR,16,8,79,44,55.70%,749,17,5,32,72,9.5,2.8,46.8,0
94,Rishard Matthews,MIA,26,WR,11,11,61,43,70.50%,662,15.4,4,32,53,10.9,3.9,60.2,0
95,James Starks,GNB,29,RB,16,4,53,43,81.10%,392,9.1,3,17,30,7.4,2.7,24.5,5
96,Roddy White,ATL,34,WR,16,16,70,43,61.40%,506,11.8,1,27,25,7.2,2.7,31.6,0
97,Cecil Shorts,HOU,28,WR,11,4,75,42,56.00%,484,11.5,2,27,42,6.5,3.8,44,2
98,Will Tye,NYG,24,TE,13,7,62,42,67.70%,464,11,3,23,45,7.5,3.2,35.7,1
99,Andre Johnson,IND,34,WR,16,14,77,41,53.20%,503,12.3,4,32,35,6.5,2.6,31.4,0
100,Kyle Juszczyk,BAL,24,RB,16,11,56,41,73.20%,321,7.8,4,17,39,5.7,2.6,20.1,0
101,Latavius Murray*,OAK,25,RB,16,16,53,41,77.40%,232,5.7,0,9,23,4.4,2.6,14.5,4
102,Darren McFadden,DAL,28,RB,16,10,53,40,75.50%,328,8.2,0,12,21,6.2,2.5,20.5,3
103,James White,NWE,23,RB,14,1,54,40,74.10%,410,10.3,4,19,68,7.6,2.9,29.3,0
104,DeAngelo Williams,PIT,32,RB,16,10,47,40,85.10%,367,9.2,0,15,34,7.8,2.5,22.9,4
105,Jared Cook,STL,28,TE,16,12,75,39,52.00%,481,12.3,0,19,49,6.4,2.4,30.1,2
106,Jerricho Cotchery,CAR,33,WR,14,3,54,39,72.20%,485,12.4,3,26,59,9,2.8,34.6,0
107,Mike Wallace,MIN,29,WR,16,12,72,39,54.20%,473,12.1,2,27,34,6.6,2.4,29.6,0
108,Vernon Davis,2TM,31,TE,15,9,58,38,65.50%,395,10.4,0,0,43,6.8,2.5,26.3,0
109,Ladarius Green,SDG,25,TE,13,11,63,37,58.70%,429,11.6,4,24,31,6.8,2.8,33,0
110,Brandon LaFell,NWE,29,WR,11,7,74,37,50.00%,515,13.9,0,22,54,7,3.4,46.8,0
111,Eddie Royal,CHI,29,WR,9,9,50,37,74.00%,238,6.4,1,9,30,4.8,4.1,26.4,0
112,Kenny Britt,STL,27,WR,16,14,72,36,50.00%,681,18.9,3,29,60,9.5,2.3,42.6,0
113,Harry Douglas,TEN,31,WR,14,12,72,36,50.00%,411,11.4,2,22,51,5.7,2.6,29.4,2
114,Dwayne Harris,NYG,28,WR,15,6,57,36,63.20%,396,11,4,20,38,6.9,2.4,26.4,3
115,Chris Hogan,BUF,28,WR,16,4,59,36,61.00%,450,12.5,2,18,46,7.6,2.3,28.1,0
116,David Johnson,ARI,24,RB,16,5,57,36,63.20%,457,12.7,4,21,55,8,2.3,28.6,4
117,Dion Lewis,NWE,25,RB,7,6,50,36,72.00%,388,10.8,2,17,40,7.8,5.1,55.4,2
118,Kendall Wright,TEN,26,WR,10,9,60,36,60.00%,408,11.3,3,21,52,6.8,3.6,40.8,0
119,T.J. Yeldon,JAX,22,RB,12,12,46,36,78.30%,279,7.8,1,15,67,6.1,3,23.3,0
120,Jordan Cameron,MIA,27,TE,16,16,70,35,50.00%,386,11,3,21,29,5.5,2.2,24.1,1
121,Dontrelle Inman,SDG,26,WR,14,7,63,35,55.60%,486,13.9,3,22,68,7.7,2.5,34.7,2
122,Chris Thompson,WAS,25,RB,13,0,48,35,72.90%,240,6.9,2,14,23,5,2.7,18.5,2
123,Albert Wilson,KAN,23,WR,14,12,57,35,61.40%,451,12.9,2,19,44,7.9,2.5,32.2,0
124,Frank Gore,IND,32,RB,16,16,58,34,58.60%,267,7.9,1,11,34,4.6,2.1,16.7,4
125,Zach Miller,CHI,31,TE,15,14,46,34,73.90%,439,12.9,5,17,87,9.5,2.3,29.3,0
126,C.J. Spiller,NOR,28,RB,13,2,44,34,77.30%,239,7,2,13,80,5.4,2.6,18.4,1
127,Jarius Wright,MIN,26,WR,16,3,50,34,68.00%,442,13,0,25,52,8.8,2.1,27.6,1
128,Crockett Gillmore,BAL,24,TE,10,10,47,33,70.20%,412,12.5,4,17,46,8.8,3.3,41.2,0
129,Melvin Gordon,SDG,22,RB,14,12,37,33,89.20%,192,5.8,0,8,18,5.2,2.4,13.7,6
130,Vincent Jackson,TAM,32,WR,10,9,62,33,53.20%,543,16.5,3,28,36,8.8,3.3,54.3,0
131,Doug Martin*+,TAM,26,RB,16,16,44,33,75.00%,271,8.2,1,10,25,6.2,2.1,16.9,5
132,Mohamed Sanu,CIN,26,WR,16,4,49,33,67.30%,394,11.9,0,17,52,8,2.1,24.6,2
133,Torrey Smith,SFO,26,WR,16,12,62,33,53.20%,663,20.1,4,23,76,10.7,2.1,41.4,0
134,Dorial Green-Beckham,TEN,22,WR,16,5,67,32,47.80%,549,17.2,4,30,47,8.2,2,34.3,0
135,Fred Jackson,SEA,34,RB,16,0,41,32,78.00%,257,8,2,12,26,6.3,2,16.1,1
136,LeSean McCoy*,BUF,27,RB,12,12,50,32,64.00%,292,9.1,2,12,22,5.8,2.7,24.3,2
137,Mychal Rivera,OAK,25,TE,16,0,46,32,69.60%,280,8.8,1,13,29,6.1,2,17.5,2
138,Seth Roberts,OAK,24,WR,16,5,55,32,58.20%,480,15,5,21,43,8.7,2,30,0
139,Bryan Walters,JAX,28,WR,11,1,45,32,71.10%,368,11.5,1,22,31,8.2,2.9,33.5,0
140,Maxx Williams,BAL,21,TE,14,7,48,32,66.70%,268,8.4,1,16,28,5.6,2.3,19.1,1
141,Corey Brown,CAR,24,WR,14,11,54,31,57.40%,447,14.4,4,24,39,8.3,2.2,31.9,0
142,Dez Bryant,DAL,27,WR,9,9,72,31,43.10%,401,12.9,3,18,51,5.6,3.4,44.6,0
143,Jeremy Butler,BAL,24,WR,8,0,44,31,70.50%,363,11.7,0,17,41,8.3,3.9,45.4,1
144,Justin Forsett,BAL,30,RB,10,10,41,31,75.60%,153,4.9,0,4,32,3.7,3.1,15.3,0
145,Devin Funchess,CAR,21,WR,16,5,63,31,49.20%,473,15.3,5,24,52,7.5,1.9,29.6,1
146,Dexter McCluster,TEN,26,WR,11,2,41,31,75.60%,260,8.4,1,12,35,6.3,2.8,23.6,2
147,Brandon Coleman,NOR,23,WR,16,4,49,30,61.20%,454,15.1,2,22,31,9.3,1.9,28.4,0
148,Malcom Floyd,SDG,34,WR,15,13,68,30,44.10%,561,18.7,3,19,70,8.3,2,37.4,1
149,Chris Ivory*,NYJ,27,RB,15,14,37,30,81.10%,217,7.2,1,10,36,5.9,2,14.5,4
150,DeSean Jackson,WAS,29,WR,9,9,49,30,61.20%,528,17.6,4,15,77,10.8,3.3,58.7,1
151,Vance McDonald,SFO,25,TE,14,11,46,30,65.20%,326,10.9,3,16,36,7.1,2.1,23.3,2
152,Quinton Patton,SFO,25,WR,16,4,57,30,52.60%,394,13.1,1,15,41,6.9,1.9,24.6,0
153,Adrian Peterson*+,MIN,30,RB,16,16,36,30,83.30%,222,7.4,0,9,49,6.2,1.9,13.9,7
154,Marcel Reece,OAK,30,RB,15,7,37,30,81.10%,269,9,3,12,55,7.3,2,17.9,0
155,Larry Donnell,NYG,27,TE,8,8,41,29,70.70%,223,7.7,2,13,22,5.4,3.6,27.9,0
156,Rashad Jennings,NYG,30,RB,16,16,40,29,72.50%,296,10.2,1,8,51,7.4,1.8,18.5,3
157,Lance Moore,DET,32,WR,14,8,43,29,67.40%,337,11.6,4,20,42,7.8,2.1,24.1,1
158,Taylor Gabriel,CLE,24,WR,13,4,48,28,58.30%,241,8.6,0,11,56,5,2.2,18.5,1
159,Clive Walford,OAK,24,TE,16,2,50,28,56.00%,329,11.8,3,20,33,6.6,1.8,20.6,0
160,Marquess Wilson,CHI,23,WR,11,6,51,28,54.90%,464,16.6,1,20,50,9.1,2.5,42.2,0
161,Brent Celek,PHI,30,TE,16,13,35,27,77.10%,398,14.7,3,21,60,11.4,1.7,24.9,1
162,Shaun Draughn,2TM,28,RB,11,6,35,27,77.10%,176,6.5,0,0,26,5,2.5,16,1
163,Andrew Hawkins,CLE,29,WR,8,8,43,27,62.80%,276,10.2,0,11,25,6.4,3.4,34.5,1
164,Josh Huff,PHI,24,WR,15,4,42,27,64.30%,312,11.6,3,16,41,7.4,1.8,20.8,0
165,Adam Humphries,TAM,22,WR,13,0,40,27,67.50%,260,9.6,1,18,27,6.5,2.1,20,0
166,Kenny Stills,MIA,23,WR,16,8,63,27,42.90%,440,16.3,3,18,47,7,1.7,27.5,0
167,Benny Cunningham,STL,25,RB,16,1,36,26,72.20%,250,9.6,0,12,42,6.9,1.6,15.6,1
168,Anthony Fasano,TEN,31,TE,16,11,42,26,61.90%,289,11.1,2,16,33,6.9,1.6,18.1,0
169,Jonathan Grimes,HOU,26,RB,14,0,31,26,83.90%,173,6.7,1,8,19,5.6,1.9,12.4,0
170,Leonard Hankerson,3TM,26,WR,10,0,46,26,56.50%,327,12.6,3,0,55,7.1,2.6,32.7,0
171,DeVante Parker,MIA,22,WR,14,4,50,26,52.00%,494,19,3,20,49,9.9,1.9,35.3,0
172,Ameer Abdullah,DET,22,RB,16,9,38,25,65.80%,183,7.3,1,11,36,4.8,1.6,11.4,5
173,C.J. Anderson,DEN,24,RB,15,6,36,25,69.40%,183,7.3,0,6,27,5.1,1.7,12.2,2
174,Lance Kendricks,STL,27,TE,15,12,36,25,69.40%,245,9.8,2,11,37,6.8,1.7,16.3,0
175,Le'Veon Bell,PIT,23,RB,6,6,26,24,92.30%,136,5.7,0,4,20,5.2,4,22.7,0
176,Javontee Herndon,SDG,24,WR,8,2,33,24,72.70%,195,8.1,0,8,21,5.9,3,24.4,2
177,Ronnie Hillman,DEN,24,RB,16,10,35,24,68.60%,111,4.6,0,3,14,3.2,1.5,6.9,3
178,Keshawn Martin,NWE,25,WR,9,8,37,24,64.90%,269,11.2,2,14,39,7.3,2.7,29.9,1
179,Nelson Agholor,PHI,22,WR,13,12,44,23,52.30%,283,12.3,1,11,53,6.4,1.8,21.8,1
180,Cameron Brate,TAM,24,TE,14,4,30,23,76.70%,288,12.5,3,14,46,9.6,1.6,20.6,0
181,Scott Chandler,NWE,30,TE,15,4,42,23,54.80%,259,11.3,4,14,30,6.2,1.5,17.3,0
182,Ryan Grant,WAS,25,WR,16,5,42,23,54.80%,268,11.7,2,18,35,6.4,1.4,16.8,0
183,Joique Bell,DET,29,RB,13,5,27,22,81.50%,286,13,0,10,39,10.6,1.7,22,1
184,Quincy Enunwa,NYJ,23,WR,12,6,46,22,47.80%,315,14.3,0,10,48,6.8,1.8,26.3,0
185,Arian Foster,HOU,29,RB,4,4,28,22,78.60%,227,10.3,2,13,32,8.1,5.5,56.8,2
186,Justin Hunter,TEN,24,WR,9,5,31,22,71.00%,264,12,1,12,29,8.5,2.4,29.3,0
187,Jeremy Langford,CHI,24,RB,16,2,42,22,52.40%,279,12.7,1,9,83,6.6,1.4,17.4,0
188,Marc Mariani,CHI,28,WR,16,5,33,22,66.70%,300,13.6,0,19,26,9.1,1.4,18.8,3
189,Jordan Norwood,DEN,29,WR,11,5,32,22,68.80%,207,9.4,0,11,34,6.5,2,18.8,1
190,Antonio Andrews,TEN,23,RB,14,10,29,21,72.40%,174,8.3,0,8,23,6,1.5,12.4,1
191,Jamaal Charles,KAN,29,RB,5,5,29,21,72.40%,177,8.4,1,10,26,6.1,4.2,35.4,3
192,Riley Cooper,PHI,28,WR,16,13,41,21,51.20%,327,15.6,2,15,62,8,1.3,20.4,0
193,Lance Dunbar,DAL,25,RB,4,0,23,21,91.30%,215,10.2,0,9,39,9.3,5.3,53.8,0
194,Darren Fells,ARI,29,TE,14,12,28,21,75.00%,311,14.8,3,15,48,11.1,1.5,22.2,0
195,Todd Gurley*,STL,21,RB,13,12,26,21,80.80%,188,9,0,9,31,7.2,1.6,14.5,3
196,Justin Hardy,ATL,24,WR,9,1,36,21,58.30%,194,9.2,0,11,23,5.4,2.3,21.6,0
197,Darrius Heyward-Bey,PIT,28,WR,16,4,39,21,53.80%,314,15,2,11,66,8.1,1.3,19.6,0
198,Jerick McKinnon,MIN,23,RB,16,0,29,21,72.40%,173,8.2,1,9,30,6,1.3,10.8,0
199,Denard Robinson,JAX,25,WR,13,3,30,21,70.00%,164,7.8,0,8,16,5.5,1.6,12.6,3
200,Austin Seferian-Jenkins,TAM,23,TE,7,3,39,21,53.80%,338,16.1,4,18,43,8.7,3,48.3,0
201,Damien Williams,MIA,23,RB,16,0,28,21,75.00%,142,6.8,1,6,23,5.1,1.3,8.9,2
202,Chris Givens,2TM,26,WR,15,6,54,20,37.00%,353,17.7,1,0,48,6.5,1.3,23.5,0
203,Ryan Griffin,HOU,25,TE,9,4,34,20,58.80%,251,12.6,2,13,37,7.4,2.2,27.9,0
204,Eddie Lacy,GNB,25,RB,15,12,28,20,71.40%,188,9.4,2,7,28,6.7,1.3,12.5,4
205,Ryan Mathews,PHI,28,RB,13,6,28,20,71.40%,146,7.3,1,6,23,5.2,1.5,11.2,3
206,Charcandrick West,KAN,24,RB,15,9,34,20,58.80%,214,10.7,1,6,80,6.3,1.3,14.3,1
207,Matt Asiata,MIN,28,RB,16,0,22,19,86.40%,132,6.9,0,5,22,6,1.2,8.3,0
208,Josh Bellamy,CHI,26,WR,16,3,34,19,55.90%,224,11.8,2,8,48,6.6,1.2,14,0
209,Brandon Bolden,NWE,25,RB,15,2,30,19,63.30%,180,9.5,2,8,63,6,1.3,12,0
210,Garrett Celek,SFO,27,TE,11,8,28,19,67.90%,186,9.8,3,10,33,6.6,1.7,16.9,0
211,Isaiah Crowell,CLE,22,RB,16,9,22,19,86.40%,182,9.6,1,6,53,8.3,1.2,11.4,0
212,Rashad Greene,JAX,23,WR,9,0,35,19,54.30%,93,4.9,2,9,18,2.7,2.1,10.3,1
213,Percy Harvin,BUF,27,WR,5,5,30,19,63.30%,218,11.5,1,10,51,7.3,3.8,43.6,1
214,Greg Jennings,MIA,32,WR,16,5,36,19,52.80%,208,10.9,1,7,31,5.8,1.2,13,0
215,Matt Jones,WAS,22,RB,13,0,25,19,76.00%,304,16,1,10,78,12.2,1.5,23.4,5
216,Griff Whalen,IND,25,WR,14,0,26,19,73.10%,205,10.8,1,11,38,7.9,1.4,14.6,4
217,Nick Boyle,BAL,22,TE,11,2,23,18,78.30%,153,8.5,0,10,25,6.7,1.6,13.9,0
218,Phillip Dorsett,IND,22,WR,11,0,39,18,46.20%,225,12.5,1,10,35,5.8,1.6,20.5,2
219,Jermaine Gresham,ARI,27,TE,15,12,32,18,56.30%,223,12.4,1,13,22,7,1.2,14.9,0
220,Tre Mason,STL,22,RB,13,3,25,18,72.00%,88,4.9,0,5,16,3.5,1.4,6.8,3
221,Dion Sims,MIA,24,TE,13,4,25,18,72.00%,127,7.1,1,7,22,5.1,1.4,9.8,1
222,Mike Tolbert*+,CAR,30,RB,16,3,23,18,78.30%,154,8.6,3,8,40,6.7,1.1,9.6,0
223,Travaris Cadet,3TM,26,RB,7,1,22,17,77.30%,214,12.6,1,0,44,9.7,2.4,30.6,1
224,Derek Carrier,WAS,25,TE,12,12,22,17,77.30%,141,8.3,1,4,20,6.4,1.4,11.8,0
225,Chris Conley,KAN,23,WR,16,5,31,17,54.80%,199,11.7,1,12,44,6.4,1.1,12.4,0
226,Ed Dickson,CAR,28,TE,16,11,26,17,65.40%,121,7.1,2,10,17,4.7,1.1,7.6,0
227,C.J. Fiedorowicz,HOU,24,TE,16,14,24,17,70.80%,167,9.8,1,8,25,7,1.1,10.4,1
228,Khiry Robinson,NOR,26,RB,8,0,20,17,85.00%,115,6.8,0,4,22,5.8,2.1,14.4,0
229,De'Anthony Thomas,KAN,22,RB,10,1,25,17,68.00%,140,8.2,1,6,36,5.6,1.7,14,2
230,Kenbrell Thompkins,NYJ,27,WR,7,2,33,17,51.50%,165,9.7,0,7,43,5,2.4,23.6,0
231,Nick Williams,ATL,25,WR,14,0,25,17,68.00%,159,9.4,2,11,29,6.4,1.2,11.4,0
232,Luke Willson,SEA,25,TE,14,7,26,17,65.40%,213,12.5,1,11,24,8.2,1.2,15.2,0
233,Dwayne Allen,IND,25,TE,13,12,29,16,55.20%,109,6.8,1,4,21,3.8,1.2,8.4,0
234,Bennie Fowler,DEN,24,WR,16,1,25,16,64.00%,203,12.7,0,11,41,8.1,1,12.7,0
235,Josh Hill,NOR,25,TE,16,7,30,16,53.30%,120,7.5,2,8,19,4,1,7.5,0
236,Jeremy Kerley,NYJ,27,WR,16,1,26,16,61.50%,152,9.5,2,7,25,5.8,1,9.5,1
237,Marcedes Lewis,JAX,31,TE,16,16,37,16,43.20%,226,14.1,0,8,45,6.1,1,14.1,0
238,Chris Polk,HOU,26,RB,15,2,28,16,57.10%,109,6.8,1,5,12,3.9,1.1,7.3,0
239,Jonathan Stewart*,CAR,28,RB,13,13,21,16,76.20%,99,6.2,1,5,15,4.7,1.2,7.6,3
