Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
1,Antonio Brown*+,PIT,27,WR,16,16,193,136,70.50%,1834,13.5,10,84,59,9.5,8.5,114.6,3
2,Julio Jones*+,ATL,26,WR,16,16,203,136,67.00%,1871,13.8,8,93,70,9.2,8.5,116.9,3
3,DeAndre Hopkins*,HOU,23,WR,16,16,192,111,57.80%,1521,13.7,11,83,61,7.9,6.9,95.1,1
4,Jarvis Landry*,MIA,23,WR,16,14,166,110,66.30%,1157,10.5,4,60,50,7,6.9,72.3,1
5,Larry Fitzgerald*,ARI,32,WR,16,16,145,109,75.20%,1215,11.1,9,65,44,8.4,6.8,75.9,2
6,Brandon Marshall*,NYJ,31,WR,16,16,173,109,63.00%,1502,13.8,14,76,69,8.7,6.8,93.9,3
7,Demaryius Thomas,DEN,28,WR,16,16,177,105,59.30%,1304,12.4,6,63,72,7.4,6.6,81.5,2
8,Odell Beckham Jr.*,NYG,23,WR,15,15,158,96,60.80%,1450,15.1,13,68,87,9.2,6.4,96.7,2
9,Delanie Walker*,TEN,31,TE,15,10,133,94,70.70%,1088,11.6,6,53,61,8.2,6.3,72.5,0
10,Golden Tate,DET,27,WR,16,16,128,90,70.30%,813,9,6,50,43,6.4,5.6,50.8,1
11,Calvin Johnson*,DET,30,WR,16,16,149,88,59.10%,1214,13.8,9,66,57,8.1,5.5,75.9,1
12,Jeremy Maclin,KAN,27,WR,15,15,124,87,70.20%,1088,12.5,8,50,61,8.8,5.8,72.5,2
13,Jordan Reed,WAS,25,TE,14,8,114,87,76.30%,952,10.9,11,54,32,8.4,6.2,68,3
14,A.J. Green*,CIN,27,WR,16,16,132,86,65.20%,1297,15.1,10,63,80,9.8,5.4,81.1,1
15,Michael Crabtree,OAK,28,WR,16,15,146,85,58.20%,922,10.8,9,47,38,6.3,5.3,57.6,1
16,Jordan Matthews,PHI,23,WR,16,12,126,85,67.50%,997,11.7,8,46,78,7.9,5.3,62.3,2
17,Brandin Cooks,NOR,22,WR,16,12,129,84,65.10%,1138,13.5,9,45,71,8.8,5.3,71.1,1
18,Eric Decker,NYJ,28,WR,15,13,132,80,60.60%,1027,12.8,12,60,35,7.8,5.3,68.5,1
19,Theo Riddick,DET,24,RB,16,1,99,80,80.80%,697,8.7,3,32,34,7,5,43.6,1
20,Allen Robinson*,JAX,22,WR,16,16,151,80,53.00%,1400,17.5,14,61,90,9.3,5,87.5,0
21,Danny Woodhead,SDG,30,RB,16,2,106,80,75.50%,755,9.4,6,39,61,7.1,5,47.2,0
22,Gary Barnidge*,CLE,30,TE,16,13,125,79,63.20%,1043,13.2,9,52,40,8.3,4.9,65.2,0
23,Randall Cobb,GNB,25,WR,16,15,129,79,61.20%,829,10.5,6,42,53,6.4,4.9,51.8,1
24,Doug Baldwin,SEA,27,WR,16,16,103,78,75.70%,1069,13.7,14,49,80,10.4,4.9,66.8,1
25,Greg Olsen*,CAR,30,TE,16,16,124,77,62.10%,1104,14.3,7,52,52,8.9,4.8,69,1
26,Jason Witten,DAL,33,TE,16,16,104,77,74.00%,713,9.3,3,37,35,6.9,4.8,44.6,1
27,Emmanuel Sanders,DEN,28,WR,15,15,136,76,55.90%,1135,14.9,6,51,75,8.3,5.1,75.7,2
28,Kamar Aiken,BAL,26,WR,16,14,127,75,59.10%,944,12.6,5,55,48,7.4,4.7,59,1
29,Zach Ertz,PHI,25,TE,15,7,112,75,67.00%,853,11.4,2,40,60,7.6,5,56.9,1
30,Mike Evans,TAM,22,WR,15,14,148,74,50.00%,1206,16.3,3,63,68,8.1,4.9,80.4,1
31,Ben Watson,NOR,35,TE,16,16,110,74,67.30%,825,11.1,6,42,46,7.5,4.6,51.6,1
32,Devonta Freeman*,ATL,23,RB,15,13,97,73,75.30%,578,7.9,3,21,44,6,4.9,38.5,3
33,Amari Cooper*,OAK,21,WR,16,15,130,72,55.40%,1070,14.9,6,47,68,8.2,4.5,66.9,1
34,Pierre Garcon,WAS,29,WR,16,16,111,72,64.90%,777,10.8,6,44,39,7,4.5,48.6,0
35,Rob Gronkowski*+,NWE,26,TE,15,15,120,72,60.00%,1176,16.3,11,52,76,9.8,4.8,78.4,0
36,Travis Kelce*,KAN,26,TE,16,16,103,72,69.90%,875,12.2,5,40,42,8.5,4.5,54.7,2
37,Anquan Boldin,SFO,35,WR,14,13,111,69,62.20%,789,11.4,4,36,51,7.1,4.9,56.4,1
38,T.Y. Hilton*,IND,26,WR,16,15,134,69,51.50%,1124,16.3,5,50,87,8.4,4.3,70.3,1
39,Willie Snead,NOR,23,WR,15,8,101,69,68.30%,984,14.3,3,44,63,9.7,4.6,65.6,2
40,Travis Benjamin,CLE,26,WR,16,15,125,68,54.40%,966,14.2,5,38,61,7.7,4.3,60.4,3
41,Keenan Allen,SDG,23,WR,8,8,89,67,75.30%,725,10.8,4,34,38,8.1,8.4,90.6,1
42,Danny Amendola,NWE,30,WR,14,7,87,65,74.70%,648,10,3,32,41,7.4,4.6,46.3,1
43,John Brown,ARI,25,WR,15,11,101,65,64.40%,1003,15.4,7,49,68,9.9,4.3,66.9,1
44,Marvin Jones,CIN,25,WR,16,13,103,65,63.10%,816,12.6,4,34,47,7.9,4.1,51,0
45,Allen Hurns,JAX,24,WR,15,15,105,64,61.00%,1031,16.1,10,49,80,9.8,4.3,68.7,2
46,Donte Moncrief,IND,22,WR,16,10,105,64,61.00%,733,11.5,6,41,33,7,4,45.8,0
47,Julian Edelman,NWE,29,WR,9,9,88,61,69.30%,692,11.3,7,37,59,7.9,6.8,76.9,1
48,Duke Johnson,CLE,22,RB,16,7,74,61,82.40%,534,8.8,2,24,52,7.2,3.8,33.4,1
49,Heath Miller,PIT,33,TE,15,15,81,60,74.10%,535,8.9,2,30,27,6.6,4,35.7,0
